大分類,POIコード,POI,解説,既存コード,既存コード対象,既存コード説明,参照元,日本標準産業分類コード,日本標準産業分類名
地形,0112,渓谷,峡谷・渓谷、沢、瀬、淵、瀞、谷、峡　等。,601,峡谷・渓谷,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,602,河成段丘,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,603,自由蛇行河川,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,604,穿入蛇行河川,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,605,河川　断崖・岩壁,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,606,瀞,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,607,河川　岩峰・岩柱,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,608,淵,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,609,河川　甌穴群,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0113,滝,滝。流水が急激に落下する場所。,610,滝,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,5521,滝,,国土地理院　電子国土基本図　地物種別コード,,
地形,,,,5226,滝,流水が急激に落下する場所。高さが 3.0m 以上のものを取得する ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,611,河川　天然橋・岩門・石門,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,5101,水がい線 （河川） (湖池等) （海岸線）,河川、湖池等の水がい線、および海岸線 河川は、平水時において流水部の幅が 1.0m 以上のも のとするただし、主要な河川等にあっては流水部の幅が 1.0m 未満であっても河川とする湖沼等は、湖、池、沼 等（人工的に貯水したものを含む）を指し、5.0m 平方 以上のものとする      ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,5102,一条河川,流水部の幅が 0.5m 以上、1.0m 未満の河川      ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,51-,かれ川,"通常,水の流れていない川をいい,断続している河川の 流路を明示する場合に取得する",国土交通省　都市計画GIS　地物一覧,,
地形,,,,0722,河川,都市計画法第 11 条第 1 項第 4 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,323,沢、瀬、淵、瀞、谷、峡、雪渓、河原、州、滝、浜、崎、半島、尻、島等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,0114,海岸,海岸、砂丘、岬等,0105,海岸,海岸、砂丘、岬等をいう。海水浴場は、スポーツ・レクリエーションに 分類する。,観光庁「共通基準による観光入込客統計」,,
地形,0115,半島,半島,,海岸景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,0116,湾,湾,341,海、湾、灘、淵、浦、瀬、海峡、瀬戸等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,0117,海峡,海峡,342,海岸、浜、半島,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,0118,岬,岬,343,岬、鼻、崎、磯、敷等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,801,溺れ谷,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,802,海成段丘,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,803,断層海岸,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,804,火山海岸,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,805,多島海,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,812,海食崖,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,813,波食台（ベンチ）,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,814,岩礁,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0119,海食洞,海食洞。,815,海食洞,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0120,岩門,天然橋・岩門・石門　等,816,岩門,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0121,潮吹穴,湖吹穴,817,湖吹穴,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,818,海岸　甌穴群,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0122,潮流,潮流、渦流,819,潮流、渦流,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0123,海中,自然公園法で海中公園に指定されている地区や海中景観の優れた 地区等。,0106,海中,自然公園法で海中公園に指定されている地区や海中景観の優れた 地区等。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
地形,0124,島,群島、列島、島の総称等,0107,島,離島。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
地形,,,,351,群島、列島、島の総称等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,352,島,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,353,はえ、岩礁等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,0199,その他自然,エコツーリズム(自然環境を対象とし、それらを損なうことなく、それら を体験し学ぶ観光)、グリーンツーリズム(農山漁村地域において自 然、文化、人々との交流を楽しむ滞在型の余暇活動)等は、ここに整理。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
地形,0125,岩,岩、露岩、散岩、はえ、岩礁等,332,岩、溶岩、崖、鍾乳洞、温泉、湧水、噴泉、噴火口、峠、坂等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,7212,露岩,一部を地上に露出する岩石河岸、海岸等で露出している岩石を含む      ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,7213,散岩,地表に散在する岩石岩礁を含む      ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,7512,岩,地表に露出、散在する岩石。,国土地理院　電子国土基本図　地物種別コード,,
地形,,,,7206,洞口,自然に形成された穴 ,国土交通省　都市計画GIS　地物一覧,,
地形,0126,サンゴ礁,さんご礁、隆起サンゴ礁,7214,さんご礁,サンゴ虫の遺骸や分泌物から成る石灰質の岩礁で、空中写真で判読できる程度のもの   ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,806,隆起サンゴ礁,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0127,洞窟,洞窟、洞口、風穴　等,,洞窟,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
地形,,,,6338,湿地,常時水を含み、土地が軟弱で湿地性の植生が生育して いる土地      ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,7401,湿地,,国土地理院　電子国土基本図　地物種別コード,,
地形,0128,湿原,湿原、湿地　等。,702,湿原,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,6340,砂れき地,砂、またはれきで覆われている土地   ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,7403,砂礫地,砂・れきで覆われている地域を表わす点であり、境界が不 明瞭なもの。 ,国土地理院　電子国土基本図　地物種別コード,,
地形,0129,砂丘,砂丘,,砂丘,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
地形,,,,811,砂丘,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0130,砂浜,砂浜、礫浜、砂嘴、砂州　等。,,砂浜,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
地形,,,,807,砂浜、礫浜,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,808,砂嘴,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,809,砂州,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,810,陸けい砂州,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0131,泉,泉、湧泉群　等,,泉,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
地形,0132,間欠泉,間欠泉,,間欠泉,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
地形,,,,903,湧泉群,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0133,万年雪,万年雪,7402,万年雪,,国土地理院　電子国土基本図　地物種別コード,,
地形,0134,氷河,氷河,,氷河,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
地形,0135,干潟,干潟界,7551,干潟界,干潮時には水面上に出て、満潮時には水面下に没する砂、泥 等から成る平坦な地域の境界線。,国土地理院　電子国土基本図　地物種別コード,,
地形,,,,,石灰岩景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,0136,カルスト,カルスト地形、ポリエ　等。,301,カルスト地形,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,302,ポリエ,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,303,カッレンフェルト・ドリーネ群,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0137,鍾乳洞,鍾乳洞,304,鍾乳洞,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,,陸景特殊地学景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,0198,陸景その他,陸景で上記以外の際立った地形,,陸景その他,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,,,,401,陸景　節理,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,402,陸景　岩脈,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,501,陸景で上記以外の際立った地形,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,502,陸景で顕著な自然現象を記録する地形,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,,水景特殊地学景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,0199,水景その他,水景で上記以外の際立った地形,,水景その他,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,,,,901,水景　節理,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,902,水景　岩脈,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,1001,水景で上記以外の際立った地形,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,1002,水景で顕著な自然現象を記録する地形,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
自然関連,0201,ジオパーク,ジオパーク,,ジオパーク,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
自然関連,0202,花等の名所,花の名所。草の群生地を含む。,,花の名所,,,,
自然関連,0203,展望台,展望台,,展望台,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
自然関連,0204,展望地,展望地,,展望地,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
自然関連,0205,ビジターセンター,ビジターセンター,,ビジターセンター,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
自然関連,0206,ダム,ダム,5501,ダム,,国土地理院　電子国土基本図　地物種別コード,,
自然関連,,,,521,ダム,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
自然関連,,,,52-,ダム,洪水の調節、発電、上水道、農工業等のための各種用 水の貯水を目的として設けられた工作物をいい、砂防ダ ムを含む ,国土交通省　都市計画GIS　地物一覧,,
自然関連,0207,せき,せき,5514,せき,,国土地理院　電子国土基本図　地物種別コード,,
自然関連,,,,522,堰,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
自然関連,,,,5227,せき,流水の制御や河床の保護を目的として設けられた工作物、または用水の取得等のため河川を横断して設けられた工作物 ,国土交通省　都市計画GIS　地物一覧,,
自然関連,0208,水門,水門,5515,水門,,国土地理院　電子国土基本図　地物種別コード,,
自然関連,,,,5228,水門,取排水、推量調整のために設けられた工作物主要なものを取得する,国土交通省　都市計画GIS　地物一覧,,
自然関連,,,,523,河川・海岸施設（水門、堤防）,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
自然関連,0209,運河,運河、その他の水路,0723,運河,都市計画法第 11 条第 1 項第 4 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
自然関連,,,,0724,その他の水路,都市計画法第 11 条第 1 項第 4 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
自然関連,,,,6351,採鉱地,鉱物を採掘している場所,国土地理院　電子国土基本図　地物種別コード,,
自然関連,0210,溜池等,調整池、ため池、溜池　等,,調整池,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
自然関連,0211,海の駅,海の駅,,,,,,
自然関連,0299,その他自然関連,,,,,,,
土地利用,0301,田,水稲、蓮、い草、わさび、セリ等の耕作地。 ,6311,田,水稲、蓮、い草、わさび、セリ等の耕作地。 ,国土地理院　電子国土基本図　地物種別コード,011,耕種農業
土地利用,,,,6311,田,水稲、蓮、い草、わさび、せり等を栽培している土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0302,畑,陸稲、野菜、芝、牧草、桑、庭木等の耕作地。,6312,畑,陸稲、野菜、芝、牧草、桑、庭木等の耕作地。,国土地理院　電子国土基本図　地物種別コード,011,耕種農業
土地利用,,,,6313,畑,陸稲、野菜、芝、牧草等を栽培している土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0303,茶畑,茶の耕作地。,6313,茶畑,茶の耕作地。,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6318,茶畑,茶を栽培している土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0304,果樹園,りんご、みかん、梨、桃、栗、ぶどう等の果樹の耕作地。 ,6314,果樹園,りんご、みかん、梨、桃、栗、ぶどう等の果樹の耕作地。 ,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6319,果樹園,果樹を栽培している土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0305,さとうきび畑,さとうきびを栽培している土地      ,6314,さとうきび畑,さとうきびを栽培している土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0306,パイナップル畑,パイナップルを栽培している土地      ,6315,パイナップル畑,パイナップルを栽培している土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0307,わさび畑,わさび畑,6316,わさび畑,,公共測量標準図式 数値地形図データ取得分類コード表 ,,
土地利用,0308,桑畑,桑を栽培している土地      ,6317,桑畑,桑を栽培している土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0309,ブドウ園,ブドウを栽培している土地      ,,ブドウ園,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
土地利用,0310,その他の樹木畑,桐、はぜ、こうぞ、庭木等を栽培している土地、および苗木畑,6321,その他の樹木畑,桐、はぜ、こうぞ、庭木等を栽培している土地、および苗木畑,国土交通省　都市計画GIS　地物一覧,,
土地利用,0311,市民菜園,市民菜園,,市民菜園,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
土地利用,0312,森,林も含む。,331,高原、原、森、林、砂丘、湿原,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
土地利用,0313,広葉樹林,ケヤキ、サクラ、ブナ等の広葉樹が密生している土地。,6321,広葉樹林,ケヤキ、サクラ、ブナ等の広葉樹が密生している土地。,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6331,広葉樹林,樹高2.0m 以上の広葉樹が密生している地域ただし、植林地は樹高 2.0m 未満でも含まれる     ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0314,針葉樹林,マツ、スギ、ヒノキ等の針葉樹が密生している土地。 ,6322,針葉樹林,マツ、スギ、ヒノキ等の針葉樹が密生している土地。 ,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6332,針葉樹林,樹高2.0m 以上の針葉樹が密生している地域ただし、植林地は樹高 2.0m 未満でも含まれる      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0315,独立樹 （広葉樹）,幅の広い葉をつける単独の大きな樹木、または数株の大きな樹木が集合するもの,4221,独立樹 （広葉樹）,幅の広い葉をつける単独の大きな樹木、または数株の大きな樹木が集合するもの著名なものを取得する ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0316,独立樹 （針葉樹）,裸子植物で葉が針状または鱗片状の単独の大きな樹 木または数株の大きな樹木が集合するもの,4222,独立樹 （針葉樹）,裸子植物で葉が針状または鱗片状の単独の大きな樹 木または数株の大きな樹木が集合するもの著名なものを 取得する      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0317,竹林,竹林,6323,竹林,竹が密生している土地,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6333,竹林,樹高 2.0m 以上の竹林が密生している地域ただし、植林地は樹高 2.0m 未満でも含まれる      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0318,ヤシ科樹林,ヤシ科植物が密生している土地,6324,ヤシ科樹林,ヤシ科植物が密生している土地,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6337,やし科樹林,やし科、へご科、たこのき科等の植物が密生している地域      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0319,はい松地,ハイマツなどの樹高が低い松が密生している土地,6325,ハイマツ地,ハイマツなどの樹高が低い松が密生している土地,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6335,はい松地,はい松、またはわい性松の密生している地域      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0320,笹地,笹又は篠竹が密生している土地。,6326,笹地,笹又は篠竹が密生している土地。,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6336,しの地（笹地）,しの、または笹の密生している地域      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0321,荒地,裸地及び雑草地。,6327,荒地,裸地及び雑草地。,国土地理院　電子国土基本図　地物種別コード,,
土地利用,,,,6334,荒地,裸地および雑草地等の地域      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0322,塩田,塩田,,塩田,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
土地利用,0323,芝地,芝を植えて管理している庭園、ゴルフ場及び運動場などの土地      ,6323,芝地,芝を植えて管理している庭園、ゴルフ場及び運動場などの土地      ,国土交通省　都市計画GIS　地物一覧,,
土地利用,0324,牧場,牧場,,牧場,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",012,畜産農業
土地利用,0325,牧草地,牧草地,,牧草地,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",012,畜産農業
土地利用,0326,石切場・採石場,石切場・採石場,,,,,,
土地利用,0327,花壇,花壇,6213,花壇,,公共測量標準図式 数値地形図データ取得分類コード表 ,,
土地利用,0328,空地,空地,6211,空地,,公共測量標準図式 数値地形図データ取得分類コード表 ,,
土地利用,0399,その他土地,,,,,,,
建物,0401,住宅,住宅,,住宅,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
建物,0402,農家,農家,,農家,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
建物,0403,集合住宅,集合住宅,,集合住宅,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
建物,0404,寮,寮,,寮,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
建物,0405,オフィスビル,オフィスビル,,オフィスビル,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
建物,0406,コワーキングスペース,コワーキングスペース,,コワーキングスペース,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
建物,0407,工場,工場,3548,工場,工場は、注記で表示することを原則とするが、小規模なものは記号で表示する,国土交通省　都市計画GIS　地物一覧,,
建物,0408,造船所,船舶の製造・修理設備として造船台，ドック若しくは引揚船台を有し，船舶を製造又は修理する事業所,,造船所,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",3131,船舶製造・修理業
建物,0409,製鉄所,高炉により銑鉄を製造する事業所,,,,,2211,高炉による製鉄業
建物,0410,石油化学コンビナート,石油化学コンビナート,,,,,,
建物,0411,家畜小屋,家畜小屋,,家畜小屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",012,畜産農業
建物,0499,その他建物,,,,,,,
目標物,0501,風車,羽に風を受けて動力源とすることを目的に構築された構造物。 ,4102,風車,羽に風を受けて発電することを目的に構築された構造物で、発電 出力が1000kw以上のもの。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,0502,水車,羽に水を受けて動力源することを目的に構築された構造物。 ,,水車,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
目標物,0503,煙突,屋内で排出されるガスを屋外に導くための長い筒状の突起物。,4101,煙突,屋内で排出されるガスを屋外に導くための長い筒状の突起物で高 さがおおむね60ｍ以上のもの。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4234,煙突,煙を外部に排出するためにつくられた筒型の装置規模の大きなものを取得する ,国土交通省　都市計画GIS　地物一覧,,
目標物,0504,油田・ガス田,油、ガス等を採掘するための井戸。 ,4103,油井・ガス井,油、ガス等を採掘するための井戸。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4225,油井・ガス井,石油を採取するためのやぐらを設けた井戸、または天然ガ スを噴出する井戸のうち、現に採取中のもの      ,国土交通省　都市計画GIS　地物一覧,,
目標物,0505,高塔,特に高くそびえている工作物。送電線の鉄塔、教会の鐘楼、展望台、独立した給水塔は除く。,4201,高塔,高さが概ね60ｍ以上の五重塔、展望台等の高い塔で送電線鉄塔を除く。,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4235,高塔,特に高くそびえている工作物のうち、送電線の鉄塔、境界の鐘楼、展望台、独立した給水塔等記号が定められていないもの ,国土交通省　都市計画GIS　地物一覧,,
目標物,0506,坑口,人工の鉱坑及び自然に形成された穴の入口。,4202,坑口,人工の鉱坑及び自然に形成された穴の入口で穴の入口の大きさが 概ね10ｍ以上のもの。 ,国土地理院　電子国土基本図　地物種別コード,,
目標物,,,,4219,坑口,鉱坑の入口、および河川が地下に出入りする部分ただ し、一条河川が道路、または鉄道と交会する部分における坑口は含まない      ,国土交通省　都市計画GIS　地物一覧,,
